# data log file generated by Analog Flavor - Easy LV | HV																
# connected crate: WIENER MPOD - 4590036																
# connection: snmp://129.57.196.26:161:guru																
# modules:																
#   module0 : E08C0 - 736790 - slot 2																
Time	Vmeas(module0.Channel 0)	Imeas(module0.Channel 0)	Vmeas(module0.Channel 1)	Imeas(module0.Channel 1)	Vmeas(module0.Channel 2)	Imeas(module0.Channel 2)	Vmeas(module0.Channel 3)	Imeas(module0.Channel 3)	Vmeas(module0.Channel 4)	Imeas(module0.Channel 4)	Vmeas(module0.Channel 5)	Imeas(module0.Channel 5)	Vmeas(module0.Channel 6)	Imeas(module0.Channel 6)	Vmeas(module0.Channel 7)	Imeas(module0.Channel 7)
16.960	-1.20E-01	3.75E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
17.474	-1.20E-01	3.75E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
17.974	-1.20E-01	3.75E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
18.476	-1.20E-01	3.75E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
18.976	-1.20E-01	3.75E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
19.478	-1.20E-01	3.74E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
19.978	-1.20E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
20.478	-1.19E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
20.985	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
21.485	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
21.991	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
22.491	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
22.996	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
23.509	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
24.009	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
24.522	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
25.022	-1.20E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
25.534	-1.20E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
26.036	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
26.536	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
27.048	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
27.548	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
28.063	-1.21E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
28.563	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
29.063	-1.21E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
29.577	-1.21E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
30.077	-1.21E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
30.581	-1.21E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
31.081	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
31.595	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
32.103	-1.20E-01	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
32.603	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
33.109	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
33.609	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	-6.62E-05	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
34.120	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
34.620	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
35.120	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	-4.29E-05	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
35.635	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
36.135	-1.21E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
36.649	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
37.149	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	-1.96E-05	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
37.656	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
38.149	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
38.649	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
39.155	-1.21E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
39.657	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
40.168	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
40.674	-1.20E-01	3.72E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
41.174	-1.20E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
